,Year,Publisher,Citation Sum
0,1997.0,Elsevier,1520
1,1997.0,Google Patents,470
2,1997.0,KoreaMed,3
3,1997.0,SciELO Brasil,37
4,1997.0,Taylor & Francis,55
5,1997.0,Wiley Online Library,63
6,1997.0,ieeexplore.ieee.org,414
7,1997.0,iopscience.iop.org,1071
8,1997.0,iovs.arvojournals.org,64
9,1997.0,journal.csj.jp,18
10,1997.0,koreascience.or.kr,0
11,1997.0,search.ebscohost.com,89
12,1997.0,spiedigitallibrary.org,15
13,1998.0,ACS Publications,30
14,1998.0,Elsevier,1580
15,1998.0,Google Patents,718
16,1998.0,Springer,174
17,1998.0,Taylor & Francis,22
18,1998.0,Wiley Online Library,1685
19,1998.0,aip.scitation.org,58
20,1998.0,books.google.com,0
21,1998.0,degruyter.com,10
22,1998.0,hrcak.srce.hr,14
23,1998.0,ieeexplore.ieee.org,100
24,1998.0,iopscience.iop.org,4301
25,1998.0,jstage.jst.go.jp,68
26,1998.0,koreascience.or.kr,11
27,1998.0,liebertpub.com,181
28,1998.0,nature.com,2752
29,1998.0,pubs.rsc.org,51
30,1998.0,spiedigitallibrary.org,5
31,1998.0,thieme-connect.com,101
32,1998.0,trs.jpl.nasa.gov,1
33,1999.0,ACS Publications,64
34,1999.0,APS,42
35,1999.0,Elsevier,6073
36,1999.0,Google Patents,1374
37,1999.0,Springer,302
38,1999.0,Taylor & Francis,22
39,1999.0,Wiley Online Library,304
40,1999.0,World Scientific,8
41,1999.0,aip.scitation.org,35
42,1999.0,cambridge.org,70
43,1999.0,cheric.org,7
44,1999.0,ieeexplore.ieee.org,330
45,1999.0,iopscience.iop.org,3367
46,1999.0,jstage.jst.go.jp,0
47,1999.0,nature.com,589
48,1999.0,nipr.repo.nii.ac.jp,9
49,1999.0,osti.gov,0
50,1999.0,pubs.rsc.org,36
51,1999.0,sei.cmu.edu,0
52,2000.0,APS,4
53,2000.0,Citeseer,10
54,2000.0,Elsevier,5485
55,2000.0,Google Patents,760
56,2000.0,JSTOR,25
57,2000.0,Springer,188
58,2000.0,Wiley Online Library,105
59,2000.0,aip.scitation.org,60
60,2000.0,cheric.org,124
61,2000.0,ecec.me.psu.edu,140
62,2000.0,eymj.org,22
63,2000.0,ieeexplore.ieee.org,250
64,2000.0,inis.iaea.org,0
65,2000.0,iopscience.iop.org,2599
66,2000.0,journal.csj.jp,53
67,2000.0,nature.com,7876
68,2000.0,osti.gov,253
69,2000.0,researchgate.net,19
70,2000.0,tvst.arvojournals.org,347
71,2001.0,ACS Publications,288
72,2001.0,APS,45
73,2001.0,Elsevier,11213
74,2001.0,Google Patents,931
75,2001.0,IET,57
76,2001.0,JSTOR,64
77,2001.0,Springer,166
78,2001.0,Taylor & Francis,18
79,2001.0,Wiley Online Library,862
80,2001.0,books.google.com,266
81,2001.0,cambridge.org,85
82,2001.0,ieeexplore.ieee.org,1042
83,2001.0,inis.iaea.org,0
84,2001.0,iopscience.iop.org,8027
85,2001.0,iovs.arvojournals.org,55
86,2001.0,journal.csj.jp,96
