,Year,Publisher,Citation Sum,Impact_Publisher
0,1997,Elsevier,1520,Elsevier
1,1997,iopscience.iop.org,1071,iopscience.iop.org
2,1997,Google Patents,470,Google Patents
3,1997,ieeexplore.ieee.org,414,ieeexplore.ieee.org
4,1997,search.ebscohost.com,89,search.ebscohost.com
5,1997,iovs.arvojournals.org,64,
6,1997,Wiley Online Library,63,
7,1997,Taylor & Francis,55,
8,1997,SciELO Brasil,37,
9,1997,journal.csj.jp,18,
10,1997,spiedigitallibrary.org,15,
11,1997,KoreaMed,3,
12,1997,koreascience.or.kr,0,
13,1998,iopscience.iop.org,4301,iopscience.iop.org
14,1998,nature.com,2752,nature.com
15,1998,Wiley Online Library,1685,Wiley Online Library
16,1998,Elsevier,1580,Elsevier
17,1998,Google Patents,718,Google Patents
18,1998,liebertpub.com,181,
19,1998,Springer,174,
20,1998,thieme-connect.com,101,
21,1998,ieeexplore.ieee.org,100,
22,1998,jstage.jst.go.jp,68,
23,1998,aip.scitation.org,58,
24,1998,pubs.rsc.org,51,
25,1998,ACS Publications,30,
26,1998,Taylor & Francis,22,
27,1998,hrcak.srce.hr,14,
28,1998,koreascience.or.kr,11,
29,1998,degruyter.com,10,
30,1998,spiedigitallibrary.org,5,
31,1998,trs.jpl.nasa.gov,1,
32,1998,books.google.com,0,
33,1999,Elsevier,6074,Elsevier
34,1999,iopscience.iop.org,3368,iopscience.iop.org
35,1999,Google Patents,1374,Google Patents
36,1999,nature.com,589,nature.com
37,1999,ieeexplore.ieee.org,330,ieeexplore.ieee.org
38,1999,Wiley Online Library,304,
39,1999,Springer,302,
40,1999,cambridge.org,70,
41,1999,ACS Publications,64,
42,1999,APS,42,
43,1999,pubs.rsc.org,36,
44,1999,aip.scitation.org,35,
45,1999,Taylor & Francis,22,
46,1999,nipr.repo.nii.ac.jp,9,
47,1999,World Scientific,8,
48,1999,cheric.org,7,
49,1999,jstage.jst.go.jp,0,
50,1999,osti.gov,0,
51,1999,sei.cmu.edu,0,
52,2000,nature.com,7878,nature.com
53,2000,Elsevier,5486,Elsevier
54,2000,iopscience.iop.org,2599,iopscience.iop.org
55,2000,Google Patents,760,Google Patents
56,2000,tvst.arvojournals.org,347,tvst.arvojournals.org
57,2000,osti.gov,254,
58,2000,ieeexplore.ieee.org,250,
59,2000,Springer,188,
60,2000,ecec.me.psu.edu,140,
61,2000,cheric.org,124,
62,2000,Wiley Online Library,105,
63,2000,aip.scitation.org,60,
64,2000,journal.csj.jp,53,
65,2000,JSTOR,25,
66,2000,eymj.org,22,
67,2000,researchgate.net,19,
68,2000,Citeseer,10,
69,2000,APS,4,
70,2000,inis.iaea.org,0,
71,2001,Elsevier,11215,Elsevier
72,2001,iopscience.iop.org,8028,iopscience.iop.org
73,2001,ieeexplore.ieee.org,1042,ieeexplore.ieee.org
74,2001,Google Patents,931,Google Patents
75,2001,Wiley Online Library,862,Wiley Online Library
76,2001,sae.org,480,
77,2001,researchgate.net,444,
78,2001,onlinejacc.org,361,
79,2001,pubs.rsc.org,332,
80,2001,ACS Publications,288,
81,2001,books.google.com,266,
82,2001,osti.gov,209,
83,2001,Springer,166,
84,2001,journal.csj.jp,96,
85,2001,cambridge.org,85,
86,2001,JSTOR,64,
87,2001,IET,57,
88,2001,iovs.arvojournals.org,55,
89,2001,APS,45,
90,2001,Taylor & Francis,18,
91,2001,xenosystem.com,16,
92,2001,scielo.conicyt.cl,1,
93,2001,inis.iaea.org,0,
94,2001,sei.cmu.edu,0,
95,2002,Elsevier,11646,Elsevier
96,2002,iopscience.iop.org,6887,iopscience.iop.org
97,2002,ieeexplore.ieee.org,1084,ieeexplore.ieee.org
98,2002,Springer,1058,Springer
99,2002,ACS Publications,964,ACS Publications
100,2002,Google Patents,809,
101,2002,Wiley Online Library,712,
102,2002,seas.ucla.edu,170,
103,2002,books.google.com,122,
104,2002,AACR,58,
105,2002,cambridge.org,57,
106,2002,science.sciencemag.org,52,
107,2002,ajol.info,40,
108,2002,JSTOR,36,
109,2002,koreascience.or.kr,35,
110,2002,nature.com,23,
111,2002,Taylor & Francis,16,
112,2002,World Scientific,10,
113,2002,en.cnki.com.cn,8,
114,2002,researchgate.net,5,
115,2002,jstage.jst.go.jp,4,
116,2002,spiedigitallibrary.org,0,
117,2003,Elsevier,15789,Elsevier
118,2003,iopscience.iop.org,3927,iopscience.iop.org
119,2003,Google Patents,1580,Google Patents
120,2003,Wiley Online Library,1500,Wiley Online Library
121,2003,ieeexplore.ieee.org,999,ieeexplore.ieee.org
122,2003,jstage.jst.go.jp,133,
123,2003,sae.org,122,
124,2003,Springer,116,
125,2003,journal.csj.jp,108,
126,2003,tvst.arvojournals.org,85,
127,2003,APS,74,
128,2003,lu-group.imr.ac.cn,56,
129,2003,ACS Publications,34,
130,2003,phys.ipme.nw.ru,15,
131,2003,ir.ymlib.yonsei.ac.kr,13,
132,2003,Citeseer,8,
133,2003,books.google.com,8,
134,2003,en.cnki.com.cn,7,
135,2003,bcin.ca,0,
136,2003,cs.kent.ac.uk,0,
137,2004,Elsevier,12149,Elsevier
138,2004,iopscience.iop.org,7607,iopscience.iop.org
139,2004,ACS Publications,2995,ACS Publications
140,2004,Google Patents,1347,Google Patents
141,2004,books.google.com,1059,books.google.com
142,2004,pubs.rsc.org,455,
143,2004,aip.scitation.org,369,
144,2004,ieeexplore.ieee.org,308,
145,2004,Springer,256,
146,2004,Wiley Online Library,243,
147,2004,Trans Tech Publ,64,
148,2004,avs.scitation.org,55,
149,2004,liebertpub.com,34,
150,2004,manu56.magtech.com.cn,31,
151,2004,dankalia.com,27,
152,2004,Taylor & Francis,19,
153,2004,cambridge.org,16,
154,2004,World Scientific,8,
155,2004,jstage.jst.go.jp,8,
156,2004,SciELO Brasil,7,
157,2004,diva-portal.org,7,
158,2004,spiedigitallibrary.org,2,
159,2004,academia.edu,0,
160,2004,lia.scitation.org,0,
161,2004,osti.gov,0,
162,2005,Elsevier,14505,Elsevier
163,2005,Wiley Online Library,4708,Wiley Online Library
