Cites,Title,Year,Publisher,GSRank,CitesPerYear,CitesPerAuthor,AuthorCount,Age
6992,Challenges for rechargeable Li batteries,2010,ACS Publications,131,699.2,3496,2,10
4782,The Li-ion rechargeable battery: a perspective,2013,ACS Publications,812,683.14,2391,2,7
2566,A review on the key issues for lithium-ion battery management in electric vehicles,2013,Elsevier,1,366.57,513,5,7
2450,Electrode materials for rechargeable sodium‐ion batteries: potential alternatives to current lithium‐ion batteries,2012,Wiley Online Library,471,306.25,490,5,8
2303,Graphene Anchored with Co3O4 Nanoparticles as Anode of Lithium Ion Batteries with Enhanced Reversible Capacity and Cyclic Performance,2010,ACS Publications,663,230.3,256,9,10
2175,Challenges facing lithium batteries and electrical double‐layer capacitors,2012,Wiley Online Library,539,271.88,435,5,8
1980,A review of the features and analyses of the solid electrolyte interphase in Li-ion batteries,2010,Elsevier,563,198,660,3,10
1934,Stable cycling of double-walled silicon nanotube battery anodes through solid–electrolyte interphase control,2012,nature.com,109,241.75,322,6,8
1929,High-performance lithium-ion anodes using a hierarchical bottom-up approach,2010,nature.com,447,192.9,322,6,10
1903,Mn3O4−Graphene Hybrid as a High-Capacity Anode Material for Lithium Ion Batteries,2010,ACS Publications,313,190.3,476,4,10
1779,"Electrical energy storage for transportation—approaching the limits of, and going beyond, lithium-ion batteries",2012,pubs.rsc.org,825,222.38,593,3,8
1631,Promise and reality of post-lithium-ion batteries with high energy densities,2016,nature.com,597,407.75,816,2,4
1593,A pomegranate-inspired nanoscale design for large-volume-change lithium battery anodes,2014,nature.com,773,265.5,266,6,6
1593,A pomegranate-inspired nanoscale design for large-volume-change lithium battery anodes,2014,nature.com,593,265.5,266,6,6
1518,Electrochemical Na insertion and solid electrolyte interphase for hard‐carbon electrodes and application to Na‐Ion batteries,2011,Wiley Online Library,893,168.67,380,4,9
1471,Designing nanostructured Si anodes for high energy lithium ion batteries,2012,Elsevier,687,183.88,736,2,8
1471,Designing nanostructured Si anodes for high energy lithium ion batteries,2012,Elsevier,630,183.88,736,2,8
1411,Silicon nanotube battery anodes,2009,ACS Publications,690,128.27,176,8,11
1370,l-Cysteine-Assisted Synthesis of Layered MoS2/Graphene Composites with Excellent Electrochemical Performances for Lithium Ion Batteries,2011,ACS Publications,829,152.22,685,2,9
1368,A yolk-shell design for stabilized and scalable Li-ion battery alloy anodes,2012,ACS Publications,848,171,228,6,8
1368,A yolk-shell design for stabilized and scalable Li-ion battery alloy anodes,2012,ACS Publications,632,171,228,6,8
1293,Thermal runaway caused fire and explosion of lithium ion battery,2012,Elsevier,2,161.63,216,6,8
1251,A major constituent of brown algae for use in high-capacity Li-ion batteries,2011,science.sciencemag.org,709,139,313,4,9
1217,Interconnected silicon hollow nanospheres for lithium-ion battery anodes with long cycle life,2011,ACS Publications,19,135.22,174,7,9
1108,High rate and stable cycling of lithium metal anode,2015,nature.com,175,221.6,222,5,5
1103,"Voltage, stability and diffusion barrier differences between sodium-ion and lithium-ion intercalation materials",2011,pubs.rsc.org,552,122.56,221,5,9
1100,Interconnected hollow carbon nanospheres for stable lithium metal anodes,2014,nature.com,607,183.33,183,6,6
1055,A critical review of thermal issues in lithium-ion batteries,2011,iopscience.iop.org,850,117.22,352,3,9
1046,Ionic liquids as electrolytes for Li-ion batteries—An overview of electrochemical studies,2009,Elsevier,578,95.09,523,2,11
1041,Dendrite-free lithium deposition via self-healing electrostatic shield mechanism,2013,ACS Publications,820,148.71,208,5,7
1029,“Water-in-salt” electrolyte enables high-voltage aqueous lithium-ion chemistries,2015,science.sciencemag.org,649,205.8,147,7,5
941,Carbon nanotubes for lithium ion batteries,2009,pubs.rsc.org,461,85.55,188,5,11
936,Development and challenges of LiFePO 4 cathode material for lithium-ion batteries,2011,pubs.rsc.org,702,104,187,5,9
932,Enhanced coulomb counting method for estimating state-of-charge and state-of-health of lithium-ion batteries,2009,Elsevier,888,84.73,233,4,11
930,Lithium ion battery applications of molybdenum disulfide (MoS 2) nanocomposites,2014,pubs.rsc.org,4,155,233,4,6
901,Materials challenges and opportunities of lithium ion batteries,2011,ACS Publications,814,100.11,901,1,9
888,Hierarchical Three-Dimensional ZnCo2O4 Nanowire Arrays/Carbon Cloth Anodes for a Novel Class of High-Performance Flexible Lithium-Ion Batteries,2012,ACS Publications,821,111,127,7,8
872,Binding SnO2 Nanocrystals in Nitrogen‐Doped Graphene Sheets as Anode Materials for Lithium‐Ion Batteries,2013,Wiley Online Library,678,124.57,291,3,7
853,A review on lithium-ion battery ageing mechanisms and estimations for automotive applications,2013,Elsevier,16,121.86,171,5,7
809,Arrays of sealed silicon nanotubes as anodes for lithium ion batteries,2010,ACS Publications,768,80.9,116,7,10
797,Single-ion BAB triblock copolymers as highly efficient electrolytes for lithium-metal batteries,2013,nature.com,809,113.86,159,5,7
793,A review of solid electrolyte interphases on lithium metal anode,2016,Wiley Online Library,92,198.25,159,5,4
789,The synergetic effect of lithium polysulfide and lithium nitrate to prevent lithium dendrite growth,2015,nature.com,674,157.8,132,6,5
779,Carbon-Encapsulated Fe3O4 Nanoparticles as a High-Rate Lithium Ion Battery Anode Material,2013,ACS Publications,7,111.29,130,6,7
773,The development and future of lithium ion batteries,2016,iopscience.iop.org,198,193.25,773,1,4
761,"Rapid, facile microwave-solvothermal synthesis of graphene nanosheets and their polyaniline nanocomposites for energy strorage",2009,ACS Publications,901,69.18,254,3,11
734,Fabricating genetically engineered high-power lithium-ion batteries using multiple virus genes,2009,science.sciencemag.org,960,66.73,122,6,11
728,Lithium-ion battery cell degradation resulting from realistic vehicle and vehicle-to-grid utilization,2010,Elsevier,39,72.8,243,3,10
719,Evaluation of lithium-ion battery equivalent circuit models for state of charge estimation by an experimental approach,2011,mdpi.com,57,79.89,240,3,9
719,30 years of lithium‐ion batteries,2018,Wiley Online Library,92,359.5,180,4,2
706,Porous doped silicon nanowires for lithium ion battery anode with long cycle life,2012,ACS Publications,25,88.25,177,4,8
705,Surface reconstruction and chemical evolution of stoichiometric layered cathode materials for lithium-ion batteries,2014,nature.com,935,117.5,141,5,6
704,An artificial solid electrolyte interphase layer for stable lithium metal anodes,2016,Wiley Online Library,9,176,176,4,4
691,Recent progress in cathode materials research for advanced lithium ion batteries,2012,Elsevier,915,86.38,173,4,8
690,Electrochemical performance of porous carbon/tin composite anodes for sodium‐ion and lithium‐ion batteries,2013,Wiley Online Library,401,98.57,173,4,7
685,Flexible graphene-based lithium ion batteries with ultrafast charge and discharge rates,2012,National Acad Sciences,398,85.63,137,5,8
680,A review of recent developments in membrane separators for rechargeable lithium-ion batteries,2014,pubs.rsc.org,669,113.33,136,5,6
665,Three-Dimensional Graphene Foam Supported Fe3O4 Lithium Battery Anodes with Long Cycle Life and High Rate Capability,2013,ACS Publications,736,95,83,8,7
647,Energetic zinc ion chemistry: the rechargeable zinc ion battery,2012,Wiley Online Library,11,80.88,162,4,8
644,Gram‐Scale Synthesis of Cu2O Nanocubes and Subsequent Oxidation to CuO Hollow Nanostructures for Lithium‐Ion Battery Anode Materials,2009,Wiley Online Library,74,58.55,161,4,11
641,State-of-charge estimation for lithium-ion batteries using neural networks and EKF,2010,ieeexplore.ieee.org,450,64.1,321,2,10
626,Engineering empty space between Si nanoparticles for lithium-ion battery anodes,2012,ACS Publications,38,78.25,104,6,8
626,Engineering empty space between Si nanoparticles for lithium-ion battery anodes,2012,ACS Publications,586,78.25,104,6,8
623,Raising the cycling stability of aqueous lithium-ion batteries by eliminating oxygen in the electrolyte,2010,nature.com,777,62.3,156,4,10
606,Fluoroethylene carbonate additives to render uniform Li deposits in lithium metal batteries,2017,Wiley Online Library,110,202,121,5,3
595,The state of understanding of the lithium-ion-battery graphite solid electrolyte interphase (SEI) and its relationship to formation cycling,2016,Elsevier,56,148.75,99,6,4
595,Lithium-ion batteries,2009,Springer,294,54.09,198,3,11
595,The state of understanding of the lithium-ion-battery graphite solid electrolyte interphase (SEI) and its relationship to formation cycling,2016,Elsevier,31,148.75,99,6,4
588,Design principles for electrolytes and interfaces for stable lithium-metal batteries,2016,nature.com,778,147,147,4,4
586,High Electrochemical Performance of Monodisperse NiCo2O4 Mesoporous Microspheres as an Anode Material for Li-Ion Batteries,2013,ACS Publications,897,83.71,117,5,7
585,"Theory of SEI formation in rechargeable batteries: capacity fade, accelerated aging and lifetime prediction",2012,iopscience.iop.org,86,73.13,293,2,8
583,Critical review of the methods for monitoring of lithium-ion batteries in electric and hybrid vehicles,2014,Elsevier,589,97.17,194,3,6
583,New Nanostructured Li2S/Silicon Rechargeable Battery with High Specific Energy,2010,ACS Publications,909,58.3,97,6,10
572,"Electrospun nanofiber-based anodes, cathodes, and separators for advanced lithium-ion batteries",2011,Taylor & Francis,828,63.56,114,5,9
568,High-density sodium and lithium ion battery anodes from banana peels,2014,ACS Publications,37,94.67,114,5,6
567,A review of application of carbon nanotubes for lithium ion battery anode material,2012,Elsevier,15,70.88,284,2,8
564,Encapsulation of Sn@ carbon nanoparticles in bamboo‐like hollow carbon nanofibers as an anode material in lithium‐based batteries,2009,Wiley Online Library,903,51.27,113,5,11
561,Surface chemistry and morphology of the solid electrolyte interphase on silicon nanowire lithium-ion battery anodes,2009,Elsevier,82,51,140,4,11
561,"Higher, Stronger, Better… ︁ A Review of 5 Volt Cathode Materials for Advanced Lithium‐Ion Batteries",2012,Wiley Online Library,849,70.13,281,2,8
561,Surface chemistry and morphology of the solid electrolyte interphase on silicon nanowire lithium-ion battery anodes,2009,Elsevier,114,51,140,4,11
559,Rutile-TiO2 Nanocoating for a High-Rate Li4Ti5O12 Anode of a Lithium-Ion Battery,2012,ACS Publications,30,69.88,93,6,8
552,In search of an optimized electrolyte for Na-ion batteries,2012,pubs.rsc.org,947,69,138,4,8
