,Cites,Authors,Title,Year,Source,Publisher,Type,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,"Contains keyword ""SEI""?","Contains keyword ""cathode""?","Contains keyword ""anode""?","Contains keyword ""efficiency""?","Contains keyword ""electrode""?"
0,134,WF Bentley,Cell balancing considerations for lithium-ion battery systems,1997,The Twelfth Annual Battery Conference on ?€?,ieeexplore.ieee.org,,5.83,134,1,23,"Charge algorithms for Li-ion batteries require that charging current stop once a maximum voltage threshold is reached. Each battery in a Li-ion pack must be individually monitored for this condition, so charging of the entire pack ceases as soon as one cell reaches this voltage ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
1,92,"Y Saito, K Kanari, K Takano",Thermal studies of a lithium-ion battery,1997,Journal of power sources,Elsevier,,4,31,3,23,"In order to characterize the heat generation behavior of a lithium-ion secondary battery during discharge, calorimetry of the battery was carried out. The temperature dependency of the heat generation was studied between 283 and 333 K. An exothermic peak and an ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
2,77,"VL Teofilo, LV Merritt?€?",Advanced lithium ion battery charger,1997,IEEE Aerospace and ?€?,ieeexplore.ieee.org,,3.35,26,3,23,A lithium ion battery charger has been developed for four and eight cell batteries or multiples thereof. This charger has the advantage over those using commercial lithium ion charging chips in that the individual cells are allowed to be taper charged at their upper charging ?€?,FALSE,FALSE,FALSE,FALSE,FALSE
3,356,"AD Robertson, AR West, AG Ritchie",Review of crystalline lithium-ion conductors suitable for high temperature battery applications,1997,Solid State Ionics,Elsevier,,15.48,119,3,23,"A review of crystalline lithium-ion conducting materials is presented with a focus on those suitable for high temperature battery applications. A wide range of materials is considered, both oxides and non-oxides, and several systems are recommended as being of particular ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
4,193,S Gold,A PSPICE macromodel for lithium-ion batteries,1997,The Twelfth Annual Battery Conference on ?€?,ieeexplore.ieee.org,,8.39,193,1,23,"Battery models for simulation are useful for estimating operating life, stability, transient response, and related characteristics in circuits and systems. This paper presents a parametric PSPICE macromodel for simulating lithium-ion batteries. Comparisons of the ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
5,51,S Hossain,Bipolar lithium-ion rechargeable battery,1997,"US Patent 5,595,839",Google Patents,,2.22,51,1,23,"A novel and improved rechargeable, lithium-ion battery system is composed of a plurality of individual electrochemical cells having positive and negative electrodes disposed in opposite face-to-face arrangement with a porous separator containing electrolyte ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
6,66,LL Lewyn,Rapid charging technique for lithium ion batteries,1997,"US Patent 5,670,862",Google Patents,,2.87,66,1,23,"?€? Abstract. A circuit for charging a lithium-ion battery and a technique for charging the battery are described ?€? Using this technique, the lithium-ion battery is charged to within 99.5% of its full charge in about half of the time required by the prior art. Description ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
7,53,H Tomiyama,Non-aqueous lithium ion secondary battery,1997,"US Patent 5,677,083",Google Patents,,2.3,53,1,23,"In a non-aqueous lithium ion secondary battery comprising a positive electrode sheet which comprises a lithium-containing transition metal oxide film, a negative electrode sheet which has a film of material capable of receiving and releasing a lithium ion, a non-aqueous ?€?",FALSE,FALSE,FALSE,FALSE,TRUE
8,127,"AM Wilson, G Zank, K Eguchi, W Xing, JR Dahn",Pyrolysed silicon-containing polymers as high capacity anodes for lithium-ion batteries,1997,Journal of power sources,Elsevier,,5.52,25,5,23,"?€? Keywords"" Lithium-ion batteries; Silicon polymers: Anodes ?€? In the past, we have increased the capacity of carbonaceous Li-ion battery anodes by preparing carbonaceous materials which contain silicon or silicon and oxygen [ 1-4]. Here we investigate silicon oxycarbide glasses ?€?",FALSE,FALSE,TRUE,FALSE,FALSE
9,92,"M Broussely, JP Planchat, G Rigobert, D Virey?€?",Lithium-ion batteries for electric vehicles: performances of 100 Ah cells,1997,Journal of power ?€?,Elsevier,,4,18,5,23,"?€? As it can be seen, a 120 Wh/kg lithium-ion battery will guarantee a 250 km range, while a lead/acid battery of the same weight will give 25% of this value ?€? A 20 to 30 kWh Li-ion battery (120 Wh/kg), for a 150 to 250 km range, requires about 200 W/kg specific peak power ?€?",FALSE,FALSE,FALSE,FALSE,FALSE
