Cites,Year,Publisher,CitesPerYear,AuthorCount,Age,"""SEI""?","""cathode""?","""anode""?","""efficiency""?","""electrode""?"
134,1997,ieeexplore.ieee.org,5.83,1,23,FALSE,FALSE,FALSE,FALSE,FALSE
92,1997,Elsevier,4,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
77,1997,ieeexplore.ieee.org,3.35,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
356,1997,Elsevier,15.48,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
193,1997,ieeexplore.ieee.org,8.39,1,23,FALSE,FALSE,FALSE,FALSE,FALSE
51,1997,Google Patents,2.22,1,23,FALSE,FALSE,FALSE,FALSE,TRUE
66,1997,Google Patents,2.87,1,23,FALSE,FALSE,FALSE,FALSE,FALSE
53,1997,Google Patents,2.3,1,23,FALSE,FALSE,FALSE,FALSE,TRUE
127,1997,Elsevier,5.52,5,23,FALSE,FALSE,TRUE,FALSE,FALSE
92,1997,Elsevier,4,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
102,1997,Elsevier,4.43,4,23,FALSE,FALSE,FALSE,FALSE,FALSE
93,1997,iopscience.iop.org,4.04,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
51,1997,Elsevier,2.22,4,23,FALSE,FALSE,TRUE,FALSE,TRUE
108,1997,iopscience.iop.org,4.7,4,23,FALSE,FALSE,FALSE,FALSE,TRUE
105,1997,Google Patents,4.57,1,23,FALSE,FALSE,FALSE,FALSE,FALSE
129,1997,iopscience.iop.org,5.61,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
82,1997,iopscience.iop.org,3.57,4,23,FALSE,FALSE,TRUE,FALSE,FALSE
99,1997,Elsevier,4.3,5,23,FALSE,TRUE,FALSE,FALSE,FALSE
84,1997,Elsevier,3.65,4,23,FALSE,TRUE,FALSE,FALSE,FALSE
73,1997,Google Patents,3.17,2,23,FALSE,FALSE,FALSE,FALSE,TRUE
38,1997,Google Patents,1.65,2,23,FALSE,FALSE,FALSE,FALSE,TRUE
114,1997,Elsevier,4.96,3,23,FALSE,FALSE,TRUE,FALSE,TRUE
83,1997,Google Patents,3.61,2,23,FALSE,FALSE,FALSE,FALSE,TRUE
156,1997,Elsevier,6.78,4,23,FALSE,FALSE,TRUE,FALSE,FALSE
23,1997,Elsevier,1,2,23,TRUE,FALSE,FALSE,FALSE,FALSE
55,1997,Taylor & Francis,2.39,4,23,FALSE,FALSE,FALSE,FALSE,FALSE
37,1997,SciELO Brasil,1.61,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
41,1997,Elsevier,1.78,2,23,FALSE,FALSE,FALSE,FALSE,FALSE
659,1997,iopscience.iop.org,28.65,3,23,TRUE,FALSE,FALSE,FALSE,TRUE
21,1997,Elsevier,0.91,6,23,FALSE,FALSE,FALSE,FALSE,FALSE
15,1997,spiedigitallibrary.org,0.65,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
64,1997,iovs.arvojournals.org,2.78,4,23,FALSE,FALSE,FALSE,FALSE,FALSE
1,1997,Google Patents,0.04,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
16,1997,Elsevier,0.7,6,23,FALSE,FALSE,FALSE,FALSE,FALSE
18,1997,Wiley Online Library,0.78,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
45,1997,Wiley Online Library,1.96,6,23,FALSE,FALSE,FALSE,FALSE,FALSE
3,1997,KoreaMed,0.13,5,23,FALSE,FALSE,FALSE,FALSE,FALSE
18,1997,journal.csj.jp,0.78,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
0,1997,koreascience.or.kr,0,6,23,FALSE,FALSE,FALSE,FALSE,TRUE
10,1997,ieeexplore.ieee.org,0.43,2,23,TRUE,FALSE,TRUE,FALSE,FALSE
89,1997,search.ebscohost.com,3.87,3,23,FALSE,FALSE,FALSE,FALSE,FALSE
95,1997,Elsevier,4.13,5,23,TRUE,FALSE,TRUE,FALSE,FALSE
51,1997,Elsevier,2.22,4,23,FALSE,FALSE,FALSE,FALSE,FALSE
334,1998,Elsevier,15.18,2,22,FALSE,FALSE,FALSE,FALSE,FALSE
165,1998,Google Patents,7.5,6,22,FALSE,FALSE,FALSE,FALSE,TRUE
1327,1998,iopscience.iop.org,60.32,3,22,FALSE,FALSE,FALSE,FALSE,FALSE
83,1998,Elsevier,3.77,2,22,FALSE,FALSE,FALSE,FALSE,TRUE
125,1998,iopscience.iop.org,5.68,4,22,FALSE,TRUE,FALSE,FALSE,TRUE
138,1998,Elsevier,6.27,3,22,FALSE,FALSE,FALSE,FALSE,TRUE
79,1998,Elsevier,3.59,3,22,FALSE,FALSE,FALSE,FALSE,TRUE
82,1998,Springer,3.73,4,22,FALSE,FALSE,FALSE,FALSE,FALSE
1272,1998,Wiley Online Library,57.82,1,22,FALSE,FALSE,FALSE,FALSE,TRUE
